Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2016-12-30,0.3,0.3,0.3,0.3
2017-01-31,0.4,0.4,0.4,0.4
2017-02-28,0.2,0.2,0.2,0.2
2017-04-28,0.4,0.4,0.4,0.4
2017-05-31,0.4,0.4,0.4,0.4
2017-06-30,0.4,0.4,0.4,0.4
2017-07-31,0.4,0.4,0.4,0.4
2017-08-31,0.7,0.7,0.7,0.7
2017-09-29,0.7,0.7,0.7,0.7
2017-10-31,0.2,0.2,0.2,0.2
2017-11-30,0.6,0.6,0.6,0.6
2017-12-29,1.4,1.4,1.4,1.4
2018-02-28,1.5,1.5,1.5,1.5
2018-03-30,1.1,1.1,1.1,1.1
2018-04-30,0.6,0.6,0.6,0.6
2018-05-31,0.7,0.7,0.7,0.7
2018-06-29,0.7,0.7,0.7,0.7
2018-07-31,0.9,0.9,0.9,0.9
2018-08-31,1.3,1.3,1.3,1.3
2018-09-28,1.2,1.2,1.2,1.2
2018-10-31,1.4,1.4,1.4,1.4
2018-11-30,0.8,0.8,0.8,0.8
2018-12-31,0.3,0.3,0.3,0.3
2019-01-31,0.2,0.2,0.2,0.2
2019-02-28,0.2,0.2,0.2,0.2
2019-03-29,0.5,0.5,0.5,0.5
2019-04-30,0.9,0.9,0.9,0.9
2019-05-31,0.7,0.7,0.7,0.7
2019-06-28,0.7,0.7,0.7,0.7
2019-07-31,0.5,0.5,0.5,0.5
2019-08-30,0.3,0.3,0.3,0.3
2019-09-30,0.2,0.2,0.2,0.2
2019-10-31,0.2,0.2,0.2,0.2
2019-11-29,0.5,0.5,0.5,0.5
2019-12-31,0.8,0.8,0.8,0.8
2020-01-31,0.7,0.7,0.7,0.7
2020-02-28,0.4,0.4,0.4,0.4
2020-03-31,0.4,0.4,0.4,0.4
2020-04-30,0.1,0.1,0.1,0.1
2020-05-29,0.1,0.1,0.1,0.1
2020-06-30,0.1,0.1,0.1,0.1
2020-07-31,0.3,0.3,0.3,0.3
2020-08-31,0,0,0,0
2020-11-30,-0.9,-0.9,-0.9,-0.9
2020-12-31,-1.2,-1.2,-1.2,-1.2
2021-01-29,-0.6,-0.6,-0.6,-0.6
2021-02-26,0.4,0.4,0.4,0.4
2021-03-31,-0.2,-0.2,-0.2,-0.2
2021-04-30,-0.4,-0.4,-0.4,-0.4
2021-05-31,-0.1,-0.1,-0.1,-0.1
2021-06-30,0.2,0.2,0.2,0.2
2021-07-30,-0.3,-0.3,-0.3,-0.3
2021-08-31,-0.4,-0.4,-0.4,-0.4
2021-09-30,0.2,0.2,0.2,0.2
2021-10-29,0.1,0.1,0.1,0.1
2021-11-30,0.6,0.6,0.6,0.6
2021-12-31,0.8,0.8,0.8,0.8
2022-01-31,0.5,0.5,0.5,0.5
2022-02-28,0.9,0.9,0.9,0.9
2022-03-31,1.2,1.2,1.2,1.2
2022-04-29,2.5,2.5,2.5,2.5
2022-05-31,2.5,2.5,2.5,2.5
2022-06-30,2.4,2.4,2.4,2.4
2022-07-29,2.6,2.6,2.6,2.6
2022-08-31,3,3,3,3
2022-09-30,3,3,3,3
2022-10-31,3.7,3.7,3.7,3.7
2022-11-30,3.8,3.8,3.8,3.8
2022-12-30,4,4,4,4
2023-01-31,4.3,4.3,4.3,4.3
2023-02-28,3.3,3.3,3.3,3.3
2023-03-31,3.2,3.2,3.2,3.2
2023-04-28,3.5,3.5,3.5,3.5
2023-05-31,3.2,3.2,3.2,3.2
2023-06-30,3.3,3.3,3.3,3.3
2023-07-31,3.3,3.3,3.3,3.3
2023-08-31,3.2,3.2,3.2,3.2
